time,price,size
1725260522784,189440,2
1725260523624,189440,1
1725260526540,189430,4
1725260526540,189430,4
1725260530044,189440,3
1725260530044,189440,3
1725260535086,189450,1
1725260535086,189450,1
1725260537393,189440,2
1725260537393,189440,2
1725260540810,189450,1
1725260540810,189450,1
1725260546567,189470,1
1725260553709,189480,1
1725260553839,189490,2
1725260553839,189490,2
1725260554077,189500,3
1725260554077,189500,3
1725260554831,189500,4
1725260555081,189510,1
1725260555081,189510,1
1725260555831,189540,1
1725260557833,189520,1
1725260560428,189530,2
1725260560428,189530,2
1725260565593,189520,2
1725260569598,189510,1
1725260569598,189510,1
1725260577609,189510,2
1725260580613,189520,1
1725260580613,189520,1
1725260583455,189510,1
1725260598475,189490,1
1725260599135,189490,2
1725260605645,189510,1
1725260605645,189510,1
1725260607492,189520,4
1725260607492,189520,4
1725260625290,189510,1
1725260625291,189510,1
1725260632181,189490,2
1725260632181,189490,2
1725260636937,189490,1
1725260646504,189470,1
1725260648548,189450,3
1725260648548,189450,3
1725260649291,189430,2
1725260649292,189430,2
1725260649955,189410,1
1725260649955,189410,1
1725260653959,189420,1
1725260658307,189440,1
1725260663563,189450,2
1725260663563,189450,2
1725260665474,189440,1
1725260665474,189440,1
1725260681010,189430,2
1725260681010,189430,2
1725260684502,189430,1
1725260700771,189430,2
1725260701527,189410,3
1725260701528,189410,3
1725260702363,189410,1
1725260707368,189410,3
1725260713044,189430,1
1725260713044,189430,1
1725260716137,189440,1
1725260716380,189430,1
1725260725393,189410,1
1725260728834,189390,2
1725260728834,189390,2
1725260729558,189390,1
1725260730560,189380,2
1725260730560,189380,2
1725260731402,189390,2
1725260731813,189380,1
1725260731813,189380,1
1725260737845,189400,1
1725260739577,189420,2
1725260739577,189420,2
1725260740417,189420,1
1725260745582,189440,1
1725260746433,189450,4
1725260746433,189450,4
1725260747082,189450,1
1725260752340,189460,2
1725260752341,189460,2
1725260757201,189470,1
1725260757202,189470,1
1725260758120,189450,1
1725260764607,189440,1
1725260769456,189460,1
1725260772796,189440,1
1725260773387,189430,1
1725260785404,189440,1
1725260786065,189440,2
1725260788422,189450,1
1725260788422,189450,1
1725260791412,189430,1
1725260793073,189400,1
1725260793416,189360,2
1725260793416,189360,2
1725260794074,189360,1
1725260798831,189380,1
1725260812600,189380,3
1725260813438,189380,2
1725260817106,189380,1
1725260820452,189370,1
1725260821451,189350,1
1725260825620,189340,1
1725260826461,189340,2
1725260827120,189330,1
1725260827120,189330,1
1725260828122,189340,1
1725260833468,189330,3
1725260833468,189330,3
1725260834131,189330,1
1725260837134,189330,2
1725260843484,189350,1
1725260843484,189350,1
1725260846898,189340,3
1725260846898,189340,3
1725260849151,189350,2
1725260849151,189350,2
1725260849903,189350,1
1725260850907,189340,1
1725260858504,189360,1
1725260860668,189320,3
1725260860668,189320,3
1725260861919,189320,1
1725260868520,189330,1
1725260869517,189310,3
1725260869517,189310,3
1725260870180,189310,1
1725260870685,189300,1
1725260873776,189280,1
1725260878942,189290,1
1725260880290,189300,2
1725260880290,189300,2
1725260882545,189310,2
1725260882699,189320,1
1725260882699,189320,1
1725260883701,189300,1
1725260885953,189290,1
1725260886295,189280,1
1725260886457,189270,2
1725260886457,189270,2
1725260887459,189230,1
1725260887459,189230,1
1725260887705,189250,2
1725260887705,189250,2
1725260889713,189250,1
1725260889960,189260,1
1725260890710,189250,2
1725260890711,189250,2
1725260892986,189260,1
1725260892986,189260,1
1725260897970,189270,1
1725260898721,189270,2
1725260901227,189260,2
1725260903315,189280,1
1725260903315,189280,1
1725260904067,189290,1
1725260904730,189280,1
1725260907735,189290,1
1725260907984,189300,2
1725260907984,189300,2
1725260908734,189290,1
1725260908734,189290,1
1725260909736,189300,1
1725260915496,189280,4
1725260915496,189280,4
1725260917997,189270,1
1725260917997,189270,1
1725260921342,189280,1
1725260925009,189290,1
1725260931363,189260,1
1725260935023,189280,2
1725260935023,189280,2
1725260938368,189270,1
1725260938368,189270,1
1725260939530,189260,1
1725260944037,189240,1
1725260949383,189250,1
1725260950044,189240,1
1725260953799,189230,2
1725260953799,189230,2
1725260954550,189200,1
1725260954550,189200,1
1725260955802,189210,1
1725260956054,189220,1
1725260957395,189200,1
1725260960398,189200,3
1725260961058,189200,1
1725260962563,189210,1
1725260963313,189220,1
1725260963655,189210,2
1725260963655,189210,2
1725260964815,189210,1
1725260969070,189190,1
1725260969414,189210,1
1725260975417,189180,1
1725260976831,189210,1
1725260977080,189200,1
1725260981586,189180,1
1725260987345,189180,4
1725260988119,189160,1
1725260988119,189160,1
1725260995104,189150,3
1725260995104,189150,3
1725260995855,189150,1
1725260998609,189170,1
1725260999110,189180,2
1725260999110,189180,2
