date,model,my_trigger,target,hit,not_found,precision,recall,f1_score,model,my_trigger,target,hit,not_found,precision,recall,f1_score
24_10_18,HI 67,5,7,4,3,0.800,0.571,0.333,LO 67,4,7,2,5,0.500,0.286,0.182
24_10_23,HI 67,8,9,2,7,0.250,0.222,0.118,LO 67,3,9,2,7,0.667,0.222,0.167
24_10_24,HI 67,7,6,2,4,0.286,0.333,0.154,LO 67,5,7,3,4,0.600,0.429,0.250
24_10_25,HI 67,2,7,2,5,1.000,0.286,0.222,LO 67,4,7,1,6,0.250,0.143,0.091
24_10_29,HI 67,7,7,0,7,0.000,0.000,0.0,LO 67,5,7,3,4,0.600,0.429,0.250
24_10_30,HI 67,4,9,1,8,0.250,0.111,0.077,LO 67,5,10,1,9,0.200,0.100,0.067
24_10_31,HI 67,4,7,2,5,0.500,0.286,0.182,LO 67,6,7,2,5,0.333,0.286,0.154
24_11_01,HI 67,5,6,3,3,0.600,0.500,0.273,LO 67,2,6,1,5,0.500,0.167,0.125
24_11_04,HI 67,8,6,2,4,0.250,0.333,0.143,LO 67,4,6,2,4,0.500,0.333,0.200
24_11_05,HI 67,5,5,2,3,0.400,0.400,0.200,LO 67,4,5,0,5,0.000,0.000,0.0
24_11_11,HI 67,4,4,1,3,0.250,0.250,0.125,LO 67,6,4,1,3,0.167,0.250,0.100
24_11_13,HI 67,6,15,1,14,0.167,0.067,0.048,LO 67,4,15,0,15,0.000,0.000,0.0
24_11_15,HI 67,5,9,2,7,0.400,0.222,0.143,LO 67,4,10,1,9,0.250,0.100,0.071
24_11_18,HI 67,5,7,2,5,0.400,0.286,0.167,LO 67,2,7,0,7,0.000,0.000,0.0
24_11_20,HI 67,8,9,4,5,0.500,0.444,0.235,LO 67,0,9,0,9,0.0,0.000,0.0
24_11_21,HI 67,9,12,3,9,0.333,0.250,0.143,LO 67,2,13,2,11,1.000,0.154,0.133
24_11_25,HI 67,6,11,3,8,0.500,0.273,0.176,LO 67,6,12,3,9,0.500,0.250,0.167
24_11_26,HI 67,4,9,2,7,0.500,0.222,0.154,LO 67,4,10,2,8,0.500,0.200,0.143
24_11_27,HI 67,5,6,2,4,0.400,0.333,0.182,LO 67,0,5,0,5,0.0,0.000,0.0
,,,,,,,,,,,,,,,,
,,107,151,40,111,0.374,0.265,0.155,,70,156,26,130,0.371,0.167,0.115
