date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_09_02,HI 50,2,2,1.000,28.9,18.7,0.0,LO 50,2,2,1.000,25.1,17.0,0.0
24_09_04,HI 50,1,1,1.000,7.0,7.0,0.0,LO 50,2,0,0.000,-3.0,0.0,-1.6
24_09_05,HI 50,1,1,1.000,8.7,8.7,0.0,LO 50,5,3,0.600,45.7,22.6,-5.5
24_09_16,HI 50,5,3,0.600,50.9,20.3,-5.0,LO 50,1,1,1.000,23.4,23.4,0.0
24_09_17,HI 50,3,1,0.333,4.0,22.5,-9.5,LO 50,3,0,0.000,-17.6,3.0,-13.6
24_09_23,HI 50,6,5,0.833,107.2,44.2,0.0,LO 50,1,0,0.000,-6.0,0.0,-6.0
24_09_24,HI 50,1,1,1.000,72.9,72.9,0.0,LO 50,2,2,1.000,56.9,38.5,0.0
24_09_26,HI 50,2,1,0.500,82.4,94.5,-12.1,LO 50,0,0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,
,,21,15,0.714,362.0,94.5,-12.1,,16,8,0.500,124.5,38.5,-13.6
