date,model,my_trigger,target,hit,not_found,precision,recall,f1_score,model,my_trigger,target,hit,not_found,precision,recall,f1_score
24_09_02,HI 50,2,3,1,2,0.500,0.333,0.200,Lo 50,2,2,1,1,0.500,0.500,0.250
24_09_04,HI 50,1,6,0,6,0.000,0.000,0.0,Lo 50,2,7,0,7,0.000,0.000,0.0
24_09_05,HI 50,1,6,1,5,1.000,0.167,0.143,Lo 50,5,7,2,5,0.400,0.286,0.167
24_09_16,HI 50,5,4,3,1,0.600,0.750,0.333,Lo 50,1,3,1,2,1.000,0.333,0.250
24_09_17,HI 50,3,5,1,4,0.333,0.200,0.125,Lo 50,3,5,0,5,0.000,0.000,0.0
24_09_23,HI 50,6,7,4,3,0.667,0.571,0.308,Lo 50,1,6,0,6,0.000,0.000,0.0
24_09_24,HI 50,1,9,1,8,1.000,0.111,0.100,Lo 50,2,9,2,7,1.000,0.222,0.182
24_09_26,HI 50,2,6,1,5,0.500,0.167,0.125,Lo 50,0,6,0,6,0.0,0.000,0.0
,,,,,,,,,,,,,,,,
,,21,46,12,34,0.571,0.261,0.179,,16,45,6,39,0.375,0.133,0.098
