date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_10_18,HI 50,4,1,0.250,-9.0,7.5,-12.7,LO 50,2,1,0.500,11.0,15.5,-4.5
24_10_23,HI 50,7,4,0.571,42.9,40.9,-22.6,LO 50,5,2,0.400,-6.5,20.0,-26.5
24_10_24,HI 50,4,2,0.500,-9.5,23.2,-24.6,LO 50,3,3,1.000,72.8,29.9,0.0
24_10_25,HI 50,2,1,0.500,4.6,8.2,-3.6,LO 50,0,0,0.0,0.0,0.0,0.0
24_10_29,HI 50,7,4,0.571,49.0,12.5,0.0,LO 50,1,0,0.000,-1.9,0.0,-1.9
24_10_30,HI 50,2,0,0.000,-7.0,0.0,-4.5,LO 50,6,2,0.333,-16.0,12.3,-24.2
24_10_31,HI 50,3,2,0.667,17.4,13.4,-2.7,LO 50,2,0,0.000,7.9,4.6,0.0
24_11_01,HI 50,3,2,0.667,19.4,12.8,-0.3,LO 50,7,0,0.000,-47.4,0.0,-12.1
24_11_04,HI 50,3,0,0.000,1.7,3.3,-2.5,LO 50,3,0,0.000,-36.0,1.5,-25.1
24_11_05,HI 50,2,1,0.500,6.8,21.3,-14.5,LO 50,3,1,0.333,-10.7,8.7,-17.4
24_11_11,HI 50,6,3,0.500,7.6,19.5,-19.0,LO 50,6,5,0.833,64.8,32.7,-16.7
24_11_13,HI 50,2,2,1.000,39.2,28.2,0.0,LO 50,1,0,0.000,-8.1,0.0,-8.1
24_11_15,HI 50,2,1,0.500,22.4,24.6,-2.2,LO 50,5,2,0.400,18.4,31.4,-14.0
24_11_18,HI 50,1,1,1.000,9.3,9.3,0.0,LO 50,6,3,0.500,43.8,24.9,-17.5
24_11_20,HI 50,4,2,0.500,23.2,20.3,-10.1,LO 50,3,2,0.667,44.2,36.2,-17.4
24_11_21,HI 50,6,3,0.500,16.0,42.2,-41.1,LO 50,2,2,1.000,18.6,10.8,0.0
24_11_25,HI 50,3,0,0.000,-18.7,1.6,-14.0,LO 50,6,2,0.333,16.3,24.2,-11.3
24_11_26,HI 50,4,3,0.750,36.8,25.0,-19.7,LO 50,1,0,0.000,-0.6,0.0,-0.6
24_11_27,HI 50,3,2,0.667,2.9,15.8,-26.5,LO 50,5,1,0.200,-28.5,14.2,-20.8
,,,,,,,,,,,,,,
,,68,34,0.500,255.0,42.2,-41.1,,67,26,0.388,142.1,36.2,-26.5
